LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
4.2916923,50.7892445,43,Meerweg,,Sint-Pieters-Leeuw,,,1601,,c1ddefb54e422912
3.5483183,51.032398,7,Cyriel Buyssestraat,,Nevele,,,9850,,1721f54889062b95
3.208882,51.2222238,22,Sint-Pieterszuidstraat,,Brugge,,,8000,,d13a3341e6577328
4.6254821,50.9822325,92,Grote Appelstraat,,Haacht,,,3150,,b71b448bd650c319
4.3490799,50.8395987,73,Rue Blaes,,Bruxelles,,,1000,,7eadb89d253ed776
3.756492,50.795426,19,Edg. Tinelstraat,,Brakel,,,9660,,9f64374e2a02bf56
4.1017504,50.8626385,11,Elzenlaan,,Liedekerke,,,1770,,6468f3bb14289ebe
5.4262492,50.8631688,12,Eeuwfeeststraat,,Kortessem,,,3721,,1a34db21f77c2905
3.6338341,50.8673717,94,Ohiostraat,,Oudenaarde,,,9700,,e881b169d3ae9a1c
4.8787307,51.0888521,23,Zandstraat,,Westerlo,,,2260,,f52dc53f4e4d1c4f
3.6174069,50.8688969,21,Serpentsstraat,,Oudenaarde,,,9700,,dd6dbd1e41c7e1e7
4.2574641,50.874485,53,Jozef Mertensstraat,,Dilbeek,,,1702,,8c2998fa6f95d40f
4.6655213,51.1522319,53,Legebaan,,Nijlen,,,2560,,e264481dd3773b3e
4.1017861,51.0325188,11,Veerstraat,,Dendermonde,,,9200,,a14c6fb3e076999b
4.4045654,50.8417861,441,Georges Henrilaan,,Sint-Lambrechts-Woluwe,,,1200,,b3616bcce9332bf3
4.3163376,50.8473445,43,Sylvain Denayerstraat,,Anderlecht,,,1070,,be39b0dba0274781
4.2352869,50.8468062,38,Begijnenborrestraat,,Dilbeek,,,1700,,cb57d607bce834d7
3.2190617,50.8186755,510,Kortrijkstraat,,Wevelgem,,,8560,,f9c3a6bcb9863f58
4.4051728,50.8794558,64,Sint-Vincentiusstraat,,Evere,,,1140,,ec4c2d6daa1f6124
4.3270421,50.853409,18,Rue de la Campine,,Molenbeek-Saint-Jean,,,1080,,678f8bc79d793c1e
4.3515261,51.1767936,31,Dokter Coenstraat,,Antwerpen,,,2660,,0a3ed686f18f12a7
3.1780781,50.8122596,36,Toekomststraat,,Wevelgem,,,8560,,acc4881b7f26e389
3.1369778,51.3181993,202,Zeedijk,,Blankenberge,,,8370,,4ab38d7b27638d28
5.2014054,51.2182132,132,Kiezelweg,,Mol,,,2400,,599eb0eaaf3bfd5b
3.0647055,51.202232,15,Vaartdijk-Noord,,Jabbeke,,,8490,,d561f472ead9ed18
4.7106155,50.8618653,45,Langendaallaan,,Leuven,,,3001,,e7d93efd85678599
4.4402379,50.8960812,19,Frans Degeyndtgaarde,,Machelen,,,1831,,ee1cd5996653a481
3.389168,50.8418813,2,Dragonderdreef,,Anzegem,,,8570,,87f9ac77d777a61e
4.1462251,50.867485,59,Sibbekensveldstraat,,Ternat,,,1742,,0146d16dfe821af9
4.738067,50.887518,50,Molenstraat,,Leuven,,,3010,,97c9dbdbf0534099
4.429586,51.2319303,33,Rupelstraat,,Antwerpen,,,2060,,2625c8680e8d967c
4.9047258,51.1382248,2,Gemeentestraat,,Westerlo,,,2260,,7f897e9e7a1a5825
4.5777336,51.0394743,4,Dokter Cornilstraat,,Putte,,,2580,,5599a3da18103e85
4.4316019,50.9113385,13,Woluwestraat,,Machelen,,,1830,,d31489cf6e377ebf
4.2790174,50.8373874,28,Avenue de la Fécondité,,Anderlecht,,,1070,,2fda2e431ec55690
4.3117025,50.7508551,32,Winterperre,,Beersel,,,1653,,4127fdead4240fbf
4.6256905,51.0591432,25A,Waversesteenweg,,Putte,,,2580,,f0cc76d2e8118e7d
5.0715367,51.1628189,189,Bel,,Geel,,,2440,,c63ab5fbb6746d9d
4.6979373,50.8797836,49A,Brusselsestraat,,Leuven,,,3000,,5a615a6b0090b447
4.3322994,50.8787465,25,Ontmijnerslaan,,Jette,,,1090,,e94faa9444fa5ddb
4.5570529,50.8345082,2,Sint-Pauluslaan,,Tervuren,,,3080,,ec3908aef67dd7df
3.5465379,51.2330313,20,Kruiskenstraat,,Sint-Laureins,,,9980,,8221a458bd26240a
4.2949209,51.1787442,233,Warandestraat,,Kruibeke,,,9150,,9fa133a49b1877fe
4.6967713,51.0250262,17,Grote Kerkweg,,Heist-op-den-Berg,,,2223,,d17b8474e1223aca
2.8100183,51.185217,137,Leopoldlaan,,Middelkerke,,,8430,,03ccff003b329704
3.9298302,51.0112854,48,Hekkergemstraat,,Wichelen,,,9260,,8623e11a57d24f47
4.3362111,50.8899833,10,Jean-Baptiste Depairelaan,,Brussel,,,1020,,38a89000c31c08fa
3.7650259,51.0106807,27,Ginstdreef,,Merelbeke,,,9820,,6cfaec7eeee97074
4.2832792,50.7921177,26,Generaal Lemanstraat,,Sint-Pieters-Leeuw,,,1600,,31e48bb6b32343e2
2.7232874,50.853057,34,Babbelaarstraat,,Poperinge,,,8970,,e7b0806ccedff40f
5.2149952,51.0728149,23,Tennisstraat,,Beringen,,,3582,,f3f44767ae19ac08
4.3983237,50.8711565,33,Adolf De Brandtstraat,,Evere,,,1140,,0bdc4878123cd229
4.2974946,50.8444273,17,Avenue Commandant Vander Meeren,,Anderlecht,,,1070,,9a1ee3fa1f633fb9
4.4328208,51.2466013,91,Bordink,,Antwerpen,,,2170,,263819f26c23bfb2
