LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
5.365441,43.7646348,2,le jardin des fleurs,,Lourmarin,,,84160,,0cb16b71c258fb54
2.0809726,42.4736203,1,place sant miquel,,Eyne,,,66800,,d6cf6389e39bd04e
3.8505427,43.6157541,300,rue buffon,,Montpellier,,,34070,,d63d5f3b4ea3d3be
1.8840913,50.9371692,498,route de saint-omer,,Calais,,,62100,,db174914484b62b3
2.2378245,46.1915228,14,rue sully,,Gouzon,,,23230,,c36e2428e7386a45
-0.6223836,44.9044159,5,rue des bosquets,,Blanquefort,,,33290,,c80cb798c5c25336
4.3241943,47.4358056,4,impasse de fumée,,Flée,,,21140,,a29c117f1133bf6c
1.6472024,46.6883446,3,résidence aimé mercier,,Velles,,,36330,,1f06a5cdf5ea4f9c
4.0784644,48.2939966,13,boulevard du quatorze juillet,,Troyes,,,10000,,6f02329d7a18d534
6.9200042,49.197917,8,square pierre hoffmann,,Stiring-Wendel,,,57350,,78f19866bebc0ae9
9.0056768,41.8927673,1,canavaggio,,Campo,,,20142,,40ec73e2a25c9f76
4.0941384,49.9833878,29,rue d'hirson,,Anor,,,59186,,9e4840d510225f9b
-1.1602946,47.2617621,5019,les blutteries,,Orée d'Anjou,,,49270,,5e66deebc005867c
7.53918,47.9285673,4,rue de nambsheim,,Balgau,,,68740,,74e22ecbf82cec92
-1.6067024,49.326904,8039,,,Saint-Sauveur-de-Pierrepont,,,50250,,5008ee0c0086e330
1.5727044,46.7341342,55,route de châteauroux,,Luant,,,36350,,1911e40b7885a4a4
3.2849229,48.9770159,8,rue des cordeliers,,Charly-sur-Marne,,,02310,,1b533926e441fc87
1.8975125,47.2679547,4,allée ambroise paré,,Châtres-sur-Cher,,,41320,,2c9b2607a63d0c19
4.2736472,48.3462003,24,rue du balcon du parc,,Rouilly-Sacey,,,10220,,241ae47f7fd39dd0
-0.5297316,47.4900567,12,rue d'auvergne,,Angers,,,49100,,9a7abb17f71bccee
-0.3008681,45.0226642,9,la vergne,,Périssac,,,33240,,225bae2e810cb578
1.6834008,43.390325,3,rue de l'épargne,,Gardouch,,,31290,,3e052fed52c92c9b
3.9545073,50.2844798,142,rue du pont de pierre,,Maubeuge,,,59600,,fec2f12b32d799d0
6.7085391,45.9063169,413,route de saint-gervais,,Passy,,,74190,,af0c1a21bf7059fc
5.7759826,45.2183696,20,avenue du bourcet,,Meylan,,,38240,,1ccf025d0de1617a
