LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
6.141607,51.6737515,199,Boeckelter Weg,,Goch,,,,,5de3e9f246526a39
6.2080704,51.0524619,2,Weserstraße,,Hückelhoven,,,,,a7967abf7000ac94
10.1482086,53.5915832,11,Wittigeck,,Hamburg,,,,,ad88cdbaa87fe22e
6.3291611,50.7621112,1,Joaswerk,,Stolberg (Rhld.),,,,,9331eaf3f07a90f2
8.0444222,51.7543803,1,Südwall,,Beckum,,,,,6d9fb4876209c9a6
8.5643604,52.029261,5,Feldstraße,,,,,,,7f34f6671d1bc31f
11.3600564,50.6424298,31,Reinhardtstraße,,Saalfeld/Saale,,,,,fbbafb663348eece
7.5760686,51.966881,17,Laukamp,,,,,,,88f0914625919bf2
6.8026234,51.4780378,49,Alexanderstr.,,,,,,,5ab84243b838fb68
12.8241072,51.6179804,4,Dahlenberger Straße,,Trossin,,,4880,,
7.4220269,51.6381633,125,Borker Straße,,Waltrop,,,,,d7a40cd3715a3f0b
13.3415862,52.4963433,1,Welserstraße,,Berlin,,,10777,,58daf53cb4fa473c
12.6595228,51.1017499,16,Schloßstraße,,Frohburg,,,4654,,
7.4937789,51.8593039,50,Walskamp,,Senden,,,,,9f09e0651c724d1c
9.0311309,52.3495163,12,Quetzer Lehmkuhle,,Petershagen,,,,,fa4f376924df49ed
11.1271281,51.2686166,163,Kleine Mühlstraße,,Kannawurf,,,,,fb1dd1019beef39f
7.8322061,51.701009,9,Cardijnstraße,,,,,,,1e2428841928fa05
6.4634433,51.6652533,1,Dimpnastraße,,Xanten,,,,,d2b4463ce987217b
13.5773628,52.4027315,97 A,Schulzendorfer Straße,,Berlin,,,12526,,6bac0568ceb2b3b4
7.0712779,50.9794703,7,Möhlstr.,,,,,,,8237f8453785380e
11.1273796,51.0515852,8,Siedlung,,Udestedt,,,,,fca9500c589a7991
12.0835413,50.8999611,1,Pasternakstraße,,Gera,,,,,ec344afc432e00d0
6.4434516,51.6585141,22,Im Niederbruch,,Xanten,,,,,95ba558b00b7dc37
7.5605783,51.928753,25,Zur Landwehr,,,,,,,25c389a8188e4066
6.7173541,51.1063638,8,Josef-Schwartz-Straße,,Dormagen,,,,,170150cff087b9b7
7.7758835,52.2752607,17,Guntherstr.,,Ibbenbüren,,,,,ffde7b672e83e2ce
6.5988375,51.3806585,318,Kemmerhofstraße,,,,,,,bcf03cd24c03f917
6.8646487,51.0581439,3027,Brombeergasse,,,,,,,8cff4c976d45360c
8.7157389,52.2160601,5,Schmiedeweg,,Löhne,,,,,da8a9b2d20053fe0
6.7892889,51.469483,40,Walzstr.,,,,,,,d0a1b2f705f138fb
7.0116596,51.5068482,5,Steigerstr.,,,,,,,7c5b51bcd192856a
11.3118607,50.9404797,2,Am Dorfplatz,,Weimar,,,,,12f95ac4811d2ed5
10.4677619,50.9009847,19,Am Langen Feld,,Waltershausen,,,,,1b60c63fe8261ca7
6.5258339,51.348803,105,Dieselstraße,,,,,,,ad33491cb6fbdae2
13.1719007,50.6522846,10,Stadtmühle,,Marienberg,,,9496,,
7.1169726,50.9525437,22,Vürfelser Kaule,,Bergisch Gladbach,,,,,36956690aa8e1d5d
7.2196127,51.4780007,4,Rechener Str.,,,,,,,d1428f382dea0db2
8.2817508,51.3448317,22,Unterm Hagen,,Meschede,,,,,5c16486fda35a497
12.5306501,50.566026,9,Bergstraße,,Crinitzberg,,,8147,,
10.0262007,53.6554121,3,Leegmoor,,Hamburg,,,,,52448846fe54788d
11.2132681,51.0802187,32,Weimarische Straße,,Vippachedelhausen,,,,,5ed5cb62edad6718
7.6299737,51.669189,71,Ottostraße,,Werne,,,,,d08bde3d19e7d29b
7.4557138,51.7798636,47,Stadtfeldstr.,,Lüdinghausen,,,,,dba545a6af15cc87
9.9829847,53.5832031,46 c,Hegestraße,,Hamburg,,,,,4f67a3c203d152be
6.9581269,51.4468988,18,Hamburger Str.,,,,,,,1a56249ce9f1618f
8.6253115,50.153371,31,Am Alten Schloß,,Frankfurt am Main,,,60439,,25a4aadbb77e0d06
13.9113714,51.0019859,1,Dorfplatz,,Pirna,,,1796,,
6.7305084,51.1695017,15,Bedburger Straße,,Neuss,,,,,d2c7861fa2aaa760
8.9423905,52.1025543,2,Pinningsweg,,Kalletal,,,,,936693dca5929eeb
6.9176758,50.6504972,26,Kirchgasse,,Rheinbach,,,,,bfcec2d5e08c956a
12.5069029,50.543631,2,Zum Bibersberg,,Steinberg,,,8237,,
8.9466676,51.8729695,64,Mittelstraße,,Horn-Bad Meinberg,,,,,d3c0ca2da161e24c
6.457153,51.2152932,11,Boettgerstraße,,,,,,,14284d7103c89d54
11.411784,50.9750898,4,Mellinger Straße,,Umpferstedt,,,,,fd9e378940840320
7.3247456,50.8299595,35,Hennefer Straße,,Neunkirchen-Seelscheid,,,,,1d80bad20da99fc4
8.3729761,51.1593572,2,Finkenweg,,Schmallenberg,,,,,fb2032b3e97e7d4f
6.881555,51.4969167,115,Teutstr.,,,,,,,7cd87216a74f628e
7.4359009,51.4808516,21,Luisenhoffnung,,,,,,,a4ea0ce1d1127f2f
8.7505292,52.2558107,1,Auf dem Schlage,,Bad Oeynhausen,,,,,3371b63daacab07c
8.605794,51.6675875,10,Am Flomengraben,,Salzkotten,,,,,ad96897c6e55011d
10.2508745,50.7109811,6a,Ernst-Thälmann-Straße,,Rosa,,,,,69a747094669045c
7.9987353,50.8563504,17,Martin-Luther-Straße,,Siegen,,,,,e3c75f591fa58bbc
7.6373533,51.9730936,124,Gartenstraße,,,,,,,e8e5cd3f630c032c
13.5700658,52.4907651,6,Eschelberger Weg,,Berlin,,,12621,,dcefafcccd9f08a0
7.5787743,51.9270484,79,Am Hof Schultmann,,,,,,,d33e82244acef0d5
13.3975603,52.4118308,67 B,Uhlandstraße,,Berlin,,,12305,,d9bef0a480cf2948
13.494747,52.5428772,6 A,Freienwalder Straße,,Berlin,,,13055,,447fb39b4613105c
13.5794671,52.3920799,8,Lindenstraße,,Berlin,,,12526,,0b55687c20e1357f
6.7828337,51.2571983,28,Bloemstraße,,,,,,,646baeb428afed68
10.1304677,53.61671,130,Am Knill,,Hamburg,,,,,f4acd49363e5c406
7.270199,51.1520162,3,Am Weidenbroich,,,,,,,47a939191d163a99
13.592105,52.5159469,14,Finsterberger Straße,,Berlin,,,12621,,832971ef297828ef
8.4344468,51.9056055,75,Spexarder Straße,,Gütersloh,,,,,fb0cc1bad3ad92a0
6.6525538,51.6645153,25,Am Texas,,Wesel,,,,,53bc5684f2e0078b
8.3708615,52.049343,16,Stodieks Hof,,Halle (Westf.),,,,,f12373337b5a8510
6.1343453,50.8233655,107,Bahnhofstraße,,Würselen,,,,,b072feed78e5bc91
6.8864494,51.122714,11,Kreuzkämpchen,,Monheim am Rhein,,,,,3e56b6fff91c984b
13.4117495,52.4455928,3 A,Plautusstraße,,Berlin,,,12109,,041fdf70cc8601a5
13.0589048,50.8640169,14,Chemnitzer Straße,,Flöha,,,9557,,
7.6240613,51.9058902,1,Böttcherstraße,,,,,,,a80f28835872fb94
7.4921592,51.3703639,4,Brahmsstraße,,,,,,,005ceedd0c0c6218
6.1308733,50.9652828,9,Graf-Goltstein-Straße,,Geilenkirchen,,,,,e24d0126a3f74ea9
6.9406043,51.5405536,8,Christine-Teusch-Straße,,,,,,,97a7e99935fd509c
13.5653392,51.1669129,27,An der Post,,Weinböhla,,,1689,,
8.4882713,51.9850152,26,Mülheimer Straße,,,,,,,6e36f58c6a1a4142
12.3267997,50.8918037,14,Hauptstraße,,Schmölln,,,,,adef5d2a326da10d
