LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
6.1255661,49.9840297,22B,Am Duerf,,Wahlhausen,,,9841,214168,f7253d9b29a654c6
6.0354076,49.4763698,7,Rue Pierre Schiltz,,Tétange,,,3786,72751,753e204e0ff38f4a
6.1045994,49.7470223,8,Rue Jean Majerus,,Mersch,,,7555,125196,01c3dfae4b55d587
6.1335629,49.63118,75A,Rue d'Eich,,Luxembourg,,,1461,8904,c76e5a9ab4351348
5.9392751,49.5248724,48,Rue Prince Jean,,Soleuvre,,,4463,93370,c1ce9e8008e29585
5.8576503,49.7892106,19,Rue Principale,,Nagem,,,8544,143811,556d3eb39c5c7810
6.3872935,49.6028331,23,Neie Wee,,Ehnen,,,5419,166447,32783c1d29ae7a88
6.1588696,49.6223973,36A,Rue des Muguets,,Luxembourg,,,2167,16529,ec5e3d88d5c4b1f5
6.1074548,49.5935652,124,Rue de Cessange,,Luxembourg,,,1321,10282,74dbb8d2f73d07d2
5.8295051,49.5478519,222,Route de Longwy,,Rodange,,,4831,80829,aabfc01627da8499
5.849847,49.5500953,118,Avenue de la Gare,,Lamadelaine,,,4873,76548,b5949b84f254ebf2
5.9488854,49.6202365,15,Rue de la Forêt,,Garnich,,,8354,32064,8571f59f3d47425e
6.0476246,49.4930477,138,Rue de Noertzange,,Kayl,,,3670,70878,58ec5d64f5a95b42
5.9775379,49.488167,7,Rue Barbourg,,Esch-sur-Alzette,,,4022,62970,273566117af67191
6.149893,49.5984693,203,Rue d'Itzig,,Luxembourg,,,1815,9053,9b57d7a9af8979df
6.3709922,49.5623118,29,Hamesfeld,,Stadtbredimus,,,5450,173448,400f4279496ef1a8
6.1399784,49.5940258,43,Rue Auguste Letellier,,Luxembourg,,,1932,7435,2f38b390e2f8c2d0
5.8407376,49.543835,38,Rue Joseph Philippart,,Rodange,,,4845,82013,5d289847548b11c2
6.113107,49.5076605,77,Montée Krakelshaff,,Bettembourg,,,3235,217198,7f7a10e33595a9a1
6.0452433,49.5176487,77,Rue de Noertzange,,Bergem,,,3315,74266,0148c578046880dd
6.2191811,49.9337139,9,Rue Braetschette,,Vianden,,,9406,152204,d1ddebee0dfd5f34
5.9358381,49.5513826,30,Cité Schmiedenacht,,Sanem,,,4993,89572,fac53d71801fa602
6.1008829,49.6082489,28,Rue Général Major Lunsford E. Oliver,,Luxembourg,,,2225,19746,f65cb0288e9816a4
6.2337668,49.6237747,70,Rue Principale,,Neuhaeusgen,,,5290,109061,3c5ff82c2abe6d9a
6.1327709,49.5253873,3,Rue Alex Federspil,,Peppange,,,3391,84583,6c7b160f2cee6ee3
6.003518,49.5044897,21,Rue Mathias Koener,,Schifflange,,,3853,95982,e1bf231c0b340b75
6.0131167,49.9820487,7,Ënnescht Duerf,,Lellingen,,,9760,186496,5cf8f4f063d62b3e
6.0693574,49.7911319,42,Route de Colmar,,Bissen,,,7766,118049,52c9b99f63afc013
5.9792808,49.5046048,20,Rue Frédéric Joliot-Curie,,Esch-sur-Alzette,,,4154,66620,5feaf348f4995446
6.0538622,49.6172444,211,Rue des Romains,,Bertrange,,,8041,97938,20ec2499b3ac98d4
5.9209425,49.9671499,40,Rue Neuve,,Wiltz,,,9542,151038,00d33885fbb5606d
6.0175001,49.5098366,118,Cité Paerchen,,Schifflange,,,3870,94173,3a31b7c07ca3cc19
5.9305688,49.958653,58,Route de Bastogne,,Wiltz,,,9512,149482,f684866fd0d53915
6.0937254,49.6029099,162,Rue de Merl,,Luxembourg,,,2146,12700,0016735de5373e08
6.4850128,49.7025896,3,Am Kundel,,Mertert,,,6669,231549,2949ae9dc4510e4a
6.2329282,49.6565517,99,Rue Andethana,,Hostert,,,6970,104780,cf7ce5a1677d08e3
6.3470281,49.4873574,23,Mounereferstrooss,,Remerschen,,,5441,171872,5679acbc5dfb4cf6
6.0138986,49.5090188,34,Rue du Stade,,Schifflange,,,3877,95906,a377408279683e8f
6.2302627,49.653177,8,Spackeltergaass,,Senningerberg,,,1670,107454,52e5e3283b103c3b
5.9761957,49.4974802,23,Rue Léon Weirich,,Esch-sur-Alzette,,,4348,67341,22ad15d085f6be25
6.1519536,49.8683443,3,Rue du Kockelberg,,Diekirch,,,9252,132473,00b8cbb1a29def3d
6.3998564,49.6109824,22,Hiel,,Wormeldange-Haut,,,5485,167505,6c7a44f7c5331d03
5.9712196,50.0984539,40,Maison,,Asselborn,,,9940,196486,74b6e191420f5c2e
6.1219578,49.6698962,8,Rue J-F Kennedy,,Steinsel,,,7327,111857,da08e0548bcc3884
6.2215012,49.7863986,3,Huelewee,,Larochette,,,7619,220220,349eba65d62fd097
6.0360722,49.6676807,8,Rue des Romains,,Kehlen,,,8284,181909,eeff49ba3096b176
5.8484281,49.9229109,8,Schoulbeerg,,Bavigne,,,9635,231230,a665b2ef238fa2ba
6.420961,49.8138889,9,Parvis De La Basilique,,Echternach,,,6486,190896,6bd7167d0c351d9f
6.3695486,49.7063709,5,Om Béchel,,Biwer,,,6833,159925,1857aaebb8806d2d
6.220165,49.9317831,7,Rue de Huy,,Vianden,,,9415,152213,163ddead1004a0ba
6.1083189,49.6188289,51,Knäppchen,,Luxembourg,,,1863,3755,2f1bafe5f629f677
